customer_id,company_name,industry,company_size_segment,region,country,signup_date,churn_date,initial_plan,contract_type,account_owner,risk_profile,power_user_flag,underpriced_flag,planned_upgrade_month
CUST-0001,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01
CUST-0002,Powell-Kirk,Technology,SMB,APAC,India,2024-08-06,,Professional,Annual,Maya Patel,Low,False,False,2025-12-01
CUST-0003,Clark Ltd,Media,SMB,North America,Canada,2024-05-11,,Starter,Monthly,Sofia Garcia,Low,False,False,
CUST-0004,Preston-Martinez,Media,Mid-Market,LATAM,Mexico,2025-01-05,2025-12-03,Professional,Monthly,Noah Williams,Medium,False,False,
CUST-0005,Cervantes Group,Manufacturing,SMB,APAC,Japan,2025-03-01,,Starter,Monthly,Noah Williams,Low,False,False,
CUST-0006,"Davis, Grant and Mitchell",Education,Enterprise,North America,United States,2025-09-24,,Enterprise,Annual,Maya Patel,Medium,False,False,
CUST-0007,Meyer and Sons,Education,Mid-Market,Europe,United Kingdom,2025-03-02,,Professional,Monthly,Noah Williams,Low,False,False,
CUST-0008,"Stephenson, Jackson and Martin",Logistics,Enterprise,North America,United States,2024-06-07,,Enterprise,Annual,Maya Patel,Low,False,False,
CUST-0009,Smith-Lopez,Financial Services,SMB,APAC,Australia,2024-03-02,,Starter,Annual,Ethan Kim,Medium,False,False,
CUST-0010,"Barajas, Cook and Smith",Logistics,SMB,Europe,Netherlands,2024-07-15,,Professional,Annual,Sofia Garcia,Low,False,False,2026-04-01
CUST-0011,"Williams, Baker and Ortega",Retail,Enterprise,LATAM,Brazil,2025-06-30,,Professional,Monthly,Ethan Kim,Low,False,False,2026-02-01
CUST-0012,Nichols-Williams,Retail,SMB,North America,Canada,2024-07-31,,Starter,Monthly,Noah Williams,Low,False,False,
CUST-0013,"Lee, Johnston and Townsend",Technology,Mid-Market,APAC,Australia,2025-03-22,,Professional,Annual,Sofia Garcia,High,False,False,2026-01-01
CUST-0014,Chan-Guerra,Technology,Mid-Market,Europe,Germany,2024-10-13,2026-02-15,Professional,Annual,Maya Patel,Medium,False,False,
CUST-0015,Joseph and Sons,Retail,SMB,Europe,France,2025-01-09,,Starter,Annual,Jordan Lee,Low,False,False,
CUST-0016,Edwards and Sons,Retail,SMB,Europe,Netherlands,2025-09-22,,Professional,Annual,Maya Patel,Medium,False,False,2026-03-01
CUST-0017,Allen PLC,Technology,SMB,APAC,India,2025-07-06,,Starter,Annual,Jordan Lee,High,False,False,
CUST-0018,Sherman Inc,Professional Services,SMB,North America,Canada,2025-11-06,,Professional,Monthly,Sofia Garcia,Low,False,False,
CUST-0019,Stewart-Newton,Logistics,Mid-Market,Europe,France,2024-05-05,,Professional,Monthly,Jordan Lee,Low,False,False,
CUST-0020,Dorsey Group,Financial Services,SMB,Europe,France,2024-04-27,,Starter,Monthly,Sofia Garcia,Low,True,False,2025-12-01
CUST-0021,"Nash, Cruz and Thompson",Media,SMB,LATAM,Mexico,2025-04-06,,Professional,Annual,Jordan Lee,Low,False,False,
CUST-0022,"Travis, Curry and Parker",Logistics,SMB,Europe,Germany,2026-03-24,,Professional,Monthly,Avery Chen,Medium,True,False,
CUST-0023,"Johnson, Frey and Lindsey",Retail,Mid-Market,APAC,Japan,2025-04-05,,Professional,Annual,Maya Patel,Low,False,False,
CUST-0024,Lara-Mclaughlin,Hospitality,SMB,Europe,United Kingdom,2024-08-01,,Starter,Monthly,Noah Williams,Low,False,False,
CUST-0025,Weiss Group,Retail,Mid-Market,North America,United States,2024-12-30,,Professional,Monthly,Noah Williams,Low,False,False,
CUST-0026,Baker and Sons,Logistics,SMB,Europe,Germany,2026-04-10,,Starter,Annual,Ethan Kim,Low,False,False,
CUST-0027,Ward-Drake,Professional Services,SMB,Europe,Germany,2025-02-15,2026-04-13,Starter,Annual,Maya Patel,Medium,False,False,
CUST-0028,Gregory Inc,Logistics,Mid-Market,North America,Canada,2025-08-31,,Starter,Annual,Ethan Kim,Low,False,False,
CUST-0029,Johnson Group,Education,Mid-Market,North America,United States,2024-06-29,,Enterprise,Annual,Sofia Garcia,Low,False,False,
CUST-0030,"Taylor, Mitchell and Alvarez",Healthcare,Mid-Market,North America,United States,2024-08-06,,Starter,Monthly,Ethan Kim,Low,False,False,
CUST-0031,Thomas-Flowers,Hospitality,SMB,Europe,Germany,2026-03-06,,Starter,Monthly,Jordan Lee,Medium,False,False,
CUST-0032,"Young, Porter and Anderson",Manufacturing,Enterprise,Europe,Netherlands,2025-12-02,,Enterprise,Monthly,Sofia Garcia,Low,True,True,
CUST-0033,Deleon-Yates,Technology,Mid-Market,North America,United States,2025-04-23,,Professional,Annual,Avery Chen,Low,False,False,
CUST-0034,Cantu-Hobbs,Logistics,SMB,North America,Canada,2025-04-21,,Starter,Monthly,Avery Chen,Medium,False,False,
CUST-0035,Brown-Sparks,Financial Services,Mid-Market,Europe,United Kingdom,2025-05-28,2025-12-30,Professional,Monthly,Noah Williams,Medium,True,False,
CUST-0036,Patterson LLC,Healthcare,SMB,North America,Canada,2024-06-23,,Starter,Annual,Maya Patel,Medium,False,False,
CUST-0037,Smith LLC,Manufacturing,SMB,North America,United States,2025-11-26,,Starter,Annual,Jordan Lee,Low,False,False,
CUST-0038,"Armstrong, Cruz and Johnson",Manufacturing,Mid-Market,APAC,Singapore,2024-08-10,,Professional,Monthly,Jordan Lee,Low,False,False,
CUST-0039,Green-Townsend,Healthcare,Mid-Market,North America,United States,2026-04-07,,Professional,Annual,Avery Chen,Medium,False,False,
CUST-0040,"Cuevas, Crawford and Ortega",Financial Services,SMB,North America,United States,2024-08-30,,Starter,Annual,Maya Patel,Low,False,False,
CUST-0041,Robinson Inc,Professional Services,SMB,Europe,United Kingdom,2025-02-25,,Professional,Annual,Ethan Kim,Low,False,False,
CUST-0042,Sanchez-Nelson,Retail,SMB,North America,United States,2025-11-10,,Starter,Monthly,Jordan Lee,Medium,False,False,
CUST-0043,"Morgan, Martinez and Quinn",Hospitality,SMB,APAC,Australia,2024-07-24,,Starter,Monthly,Jordan Lee,Low,False,False,
CUST-0044,Stark-Wallace,Retail,Mid-Market,APAC,Singapore,2025-12-08,,Professional,Monthly,Sofia Garcia,Medium,False,False,
CUST-0045,Henderson Group,Logistics,SMB,North America,United States,2024-05-28,,Starter,Annual,Avery Chen,Low,False,False,
CUST-0046,Stephens LLC,Logistics,Mid-Market,North America,United States,2025-08-17,,Professional,Annual,Jordan Lee,Medium,False,False,
CUST-0047,Powell Ltd,Manufacturing,SMB,Europe,Netherlands,2024-07-29,,Starter,Annual,Noah Williams,Medium,False,False,
CUST-0048,Perry-Gross,Professional Services,Mid-Market,Europe,Germany,2025-10-16,,Professional,Monthly,Noah Williams,Medium,False,False,2026-04-01
CUST-0049,Rivera-Nguyen,Financial Services,SMB,Europe,United Kingdom,2025-07-25,,Starter,Annual,Sofia Garcia,Medium,False,False,
CUST-0050,Flowers Ltd,Logistics,Mid-Market,North America,United States,2025-06-25,2026-03-01,Professional,Annual,Avery Chen,Medium,True,False,
CUST-0051,"Riley, Clark and Benson",Professional Services,Enterprise,North America,Canada,2024-04-18,2025-09-15,Enterprise,Monthly,Noah Williams,Medium,False,False,
CUST-0052,Lamb-Miller,Hospitality,SMB,Europe,Germany,2025-07-01,2026-05-29,Starter,Annual,Ethan Kim,High,False,False,
CUST-0053,"Ruiz, Roy and Wallace",Retail,Mid-Market,North America,United States,2025-04-16,2025-12-17,Professional,Monthly,Jordan Lee,Medium,False,False,
CUST-0054,Brown-Compton,Hospitality,Enterprise,North America,Canada,2024-06-13,,Enterprise,Monthly,Sofia Garcia,Low,True,False,
CUST-0055,"Taylor, Henderson and Thornton",Healthcare,Mid-Market,North America,United States,2024-08-06,,Professional,Annual,Maya Patel,Medium,False,False,
CUST-0056,Allen-Wilkinson,Professional Services,SMB,North America,Canada,2025-09-03,,Professional,Annual,Avery Chen,Low,False,False,
CUST-0057,Ross Group,Manufacturing,Enterprise,APAC,India,2026-04-08,,Professional,Annual,Maya Patel,Low,False,False,
CUST-0058,"Koch, Higgins and Smith",Hospitality,Enterprise,Europe,Netherlands,2025-11-22,,Enterprise,Monthly,Avery Chen,Low,False,False,
CUST-0059,Goodman-Scott,Retail,Mid-Market,APAC,Japan,2025-11-20,,Professional,Annual,Noah Williams,Low,False,False,
CUST-0060,Lozano-Lawrence,Manufacturing,SMB,APAC,Australia,2024-04-05,,Starter,Monthly,Noah Williams,Medium,False,False,
CUST-0061,Crawford-Wong,Hospitality,SMB,North America,United States,2024-05-23,2025-10-27,Starter,Monthly,Avery Chen,Low,False,False,
CUST-0062,Robles-Davis,Manufacturing,SMB,North America,United States,2024-08-26,,Professional,Annual,Jordan Lee,Medium,False,False,
CUST-0063,Jones-Villa,Education,Enterprise,North America,United States,2024-07-17,2026-01-04,Enterprise,Annual,Maya Patel,Low,True,True,
CUST-0064,"Hall, Leonard and Williams",Logistics,Mid-Market,North America,United States,2024-12-29,,Professional,Annual,Avery Chen,Medium,False,False,
CUST-0065,"Taylor, Brewer and Smith",Professional Services,Mid-Market,Europe,United Kingdom,2025-12-31,,Enterprise,Annual,Avery Chen,Low,True,True,
CUST-0066,"Rogers, Jefferson and Martinez",Hospitality,SMB,North America,United States,2025-02-18,,Professional,Annual,Maya Patel,Medium,False,False,
CUST-0067,Wood-Gallegos,Media,SMB,APAC,Singapore,2025-06-10,,Starter,Annual,Sofia Garcia,Low,False,False,
CUST-0068,"Parker, Mason and Choi",Media,SMB,APAC,India,2025-11-23,,Starter,Annual,Jordan Lee,Low,False,False,
CUST-0069,"Burns, Kim and Robinson",Hospitality,Mid-Market,North America,United States,2025-09-04,,Enterprise,Annual,Avery Chen,Medium,False,False,
CUST-0070,Chapman-Stevens,Retail,Mid-Market,APAC,Singapore,2025-12-27,,Professional,Annual,Ethan Kim,Medium,False,False,
CUST-0071,Meyer-Martinez,Retail,Mid-Market,North America,Canada,2024-07-21,,Professional,Annual,Jordan Lee,Low,True,True,
CUST-0072,Johnson-Harrison,Retail,Mid-Market,North America,Canada,2025-02-05,,Professional,Annual,Jordan Lee,High,False,False,
CUST-0073,"Parsons, Rogers and Lopez",Education,SMB,North America,Canada,2026-01-13,,Starter,Monthly,Avery Chen,Low,False,False,
CUST-0074,Jackson and Sons,Technology,SMB,Europe,Germany,2024-07-24,,Starter,Annual,Avery Chen,Low,False,False,
CUST-0075,White-Durham,Retail,SMB,Europe,United Kingdom,2026-01-10,,Starter,Annual,Sofia Garcia,Low,False,False,
CUST-0076,Jenkins Ltd,Education,Mid-Market,APAC,India,2024-05-13,,Professional,Annual,Ethan Kim,Low,False,False,
CUST-0077,Manning-Singleton,Hospitality,SMB,North America,United States,2026-02-08,,Starter,Annual,Sofia Garcia,Low,False,False,
CUST-0078,Webb-Taylor,Logistics,SMB,APAC,Japan,2024-09-24,,Starter,Annual,Sofia Garcia,Low,False,False,
CUST-0079,Mitchell and Sons,Retail,SMB,Europe,United Kingdom,2026-03-18,,Starter,Annual,Avery Chen,Low,False,False,
CUST-0080,Reed-Green,Retail,Mid-Market,North America,United States,2025-09-10,,Professional,Annual,Avery Chen,Medium,True,False,
CUST-0081,Miller-Castillo,Professional Services,SMB,APAC,Australia,2024-07-13,,Starter,Monthly,Noah Williams,Low,True,False,
CUST-0082,Evans-Johnson,Healthcare,Mid-Market,North America,Canada,2026-01-30,,Starter,Annual,Ethan Kim,Low,False,False,
